accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00001158649,,,,190,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158650,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:15+02
EGAX00001158651,,,,184,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:08+02
EGAX00001158652,,,,176,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:16+02
EGAX00001158653,,,,200,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:05+02
EGAX00001158654,,,,185,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:17+02
EGAX00001158655,,,,207,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:26+01,2014-08-11 14:54:08+02
EGAX00001158656,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:05+02
EGAX00001158657,,,,191,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:08+02
EGAX00001158658,,,,189,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:05+02
EGAX00001158659,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:09+02
EGAX00001158660,,,,228,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:09+02
EGAX00001158661,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:09+02
EGAX00001158662,,,,196,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:15+02
EGAX00001158663,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:09+02
EGAX00001158664,,,,311,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:05+02
EGAX00001158665,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:27+01,2014-08-11 14:54:09+02
EGAX00001158666,,,,204,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:09+02
EGAX00001158667,,,,242,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:09+02
EGAX00001158668,,,,213,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:05+02
EGAX00001158669,,,,242,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:05+02
EGAX00001158670,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:15+02
EGAX00001158671,,,,227,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:09+02
EGAX00001158672,,,,204,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:15+02
EGAX00001158673,,,,195,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:15+02
EGAX00001158674,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:15+02
EGAX00001158675,,,,189,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:09+02
EGAX00001158676,,,,222,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:17+02
EGAX00001158677,,,,311,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:17+02
EGAX00001158678,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:28+01,2014-08-11 14:54:15+02
EGAX00001158679,,,,205,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158680,,,,232,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:15+02
EGAX00001158681,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158682,,,,219,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158683,,,,269,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158684,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158685,,,,228,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:16+02
EGAX00001158686,,,,207,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:09+02
EGAX00001158687,,,,208,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:16+02
EGAX00001158688,,,,199,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:05+02
EGAX00001158689,,,,182,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:05+02
EGAX00001158690,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:17+02
EGAX00001158691,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:05+02
EGAX00001158692,,,,204,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:09+02
EGAX00001158693,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:09+02
EGAX00001158694,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:29+01,2014-08-11 14:54:09+02
EGAX00001158695,,,,203,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:17+02
EGAX00001158696,,,,195,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:05+02
EGAX00001158697,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:05+02
EGAX00001158698,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:05+02
EGAX00001158699,,,,275,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:05+02
EGAX00001158700,,,,204,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:16+02
EGAX00001158701,,,,281,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134541,2014-01-23 23:02:30+01,2014-08-11 14:54:05+02
EGAX00001158702,,,,241,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:05+02
EGAX00001158703,,,,220,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:17+02
EGAX00001158704,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:05+02
EGAX00001158705,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158706,,,,284,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158707,,,,296,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158708,,,,216,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158709,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158710,,,,273,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158711,,,,212,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158712,,,,205,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158713,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158714,,,,215,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:49+01,2014-08-11 14:54:06+02
EGAX00001158715,,,,213,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158716,,,,252,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:17+02
EGAX00001158717,,,,196,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:17+02
EGAX00001158718,,,,305,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:17+02
EGAX00001158719,,,,192,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158720,,,,201,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158721,,,,205,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:16+02
EGAX00001158722,,,,190,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158723,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:16+02
EGAX00001158724,,,,214,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158725,,,,182,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:17+02
EGAX00001158726,,,,181,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158727,,,,186,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:06+02
EGAX00001158728,,,,194,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:18+02
EGAX00001158729,,,,208,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:50+01,2014-08-11 14:54:18+02
EGAX00001158730,,,,182,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158731,,,,189,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158732,,,,213,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158733,,,,190,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158734,,,,200,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:18+02
EGAX00001158735,,,,210,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158736,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158737,,,,211,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158738,,,,301,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:18+02
EGAX00001158739,,,,325,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:18+02
EGAX00001158740,,,,206,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158741,,,,319,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158742,,,,225,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158743,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:06+02
EGAX00001158744,,,,198,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:51+01,2014-08-11 14:54:21+02
EGAX00001158745,,,,202,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:21+02
EGAX00001158746,,,,197,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:16+02
EGAX00001158747,,,,352,,ILLUMINA,Illumina HiSeq 2000,PAIRED,RNA-Seq,TRANSCRIPTOMIC,other,,EGAS00001000610,EGA00001134542,2014-01-23 23:11:52+01,2014-08-11 14:54:05+02
